zip,area,value,tier
# US high-value home-area ZIPs (Zillow ZHVI). Regenerate with scripts/build_us_property.py.
# Lines starting with # are ignored. Tier: ultra (>= $2M) / prime (>= $1M) latest ZHVI.
92706,Santa Ana CA,1043888,prime
92708,Fountain Valley CA,1400906,prime
92780,Tustin CA,1133027,prime
92782,Tustin CA,1338554,prime
92806,Anaheim CA,1005931,prime
92807,Anaheim CA,1160738,prime
92808,Anaheim CA,1218713,prime
92821,Brea CA,1119324,prime
92823,Brea CA,1296005,prime
92831,Fullerton CA,1070173,prime
92835,Fullerton CA,1323177,prime
92841,Garden Grove CA,1032279,prime
92845,Garden Grove CA,1128961,prime
92861,Villa Park CA,2326705,ultra
92865,Orange CA,1072950,prime
92866,Orange CA,1135017,prime
92867,Orange CA,1251855,prime
92869,Orange CA,1215801,prime
92870,Placentia CA,1119784,prime
92886,Yorba Linda CA,1378393,prime
92887,Yorba Linda CA,1517639,prime
93013,Carpinteria CA,1521465,prime
93023,Ojai CA,1152254,prime
93066,Somis CA,1548514,prime
93067,Summerland CA,2661232,ultra
93101,Santa Barbara CA,1508061,prime
93103,Santa Barbara CA,1766478,prime
93105,Santa Barbara CA,1935336,prime
93108,Montecito CA,5120277,ultra
93109,Santa Barbara CA,2450406,ultra
93110,Santa Barbara CA,1937520,prime
93111,Santa Barbara CA,1690718,prime
93117,Goleta CA,1395566,prime
93401,San Luis Obispo CA,1105789,prime
93405,San Luis Obispo CA,1100290,prime
93420,Arroyo Grande CA,1051431,prime
93424,CA,1550256,prime
93428,Cambria CA,1015768,prime
93430,Cayucos CA,1359444,prime
93432,Creston CA,1000659,prime
93441,Los Olivos CA,1775486,prime
93449,Pismo Beach CA,1121072,prime
93460,Santa Ynez CA,1903487,prime
93463,Solvang CA,1436479,prime
93908,Salinas CA,1174212,prime
93920,Big Sur CA,1777013,prime
93923,Carmel-by-the-Sea CA,2343414,ultra
93924,Carmel Valley CA,1455679,prime
93940,Monterey CA,1135276,prime
93950,Pacific Grove CA,1407012,prime
93953,Del Monte Forest CA,2777373,ultra
94002,Belmont CA,2323648,ultra
94005,Brisbane CA,1168896,prime
94010,Hillsborough CA,3456394,ultra
94014,Daly City CA,1014081,prime
94015,Daly City CA,1190603,prime
94018,Half Moon Bay CA,1511582,prime
94019,Half Moon Bay CA,1600350,prime
94022,Los Altos CA,5101025,ultra
94024,Los Altos CA,4660337,ultra
94025,Menlo Park CA,2902160,ultra
94027,Atherton CA,8305049,ultra
94028,Portola Valley CA,4260596,ultra
94030,Millbrae CA,2083763,ultra
94037,Moss Beach CA,1518975,prime
94038,Moss Beach CA,1469158,prime
94040,Mountain View CA,2898611,ultra
